CODE_COM;APL_EHPA;APL_RA;APL_SAPA
08263;142184.7;1199.69;3437.19
08288;69215.53;426.03;1308.68
08294;80781.79;739.27;3084.33
08335;51943.71;192.41;675.68
08366;61959.44;0.0;1153.81
08372;63483.06;0.0;957.61
08383;89696.16;0.0;1005.44
08411;55572.0;0.0;1310.47
08440;88095.86;0.0;1246.13
08444;76292.05;387.33;560.94
08492;98328.02;773.66;3083.37
08496;55022.79;426.03;1166.72
09003;87109.48;1496.73;72.03
09009;49231.27;0.0;2265.42
09011;18254.83;0.0;0.0
09020;5889.7;0.0;0.0
09035;63471.74;0.0;704.55
09045;71103.92;485.11;2600.95
09056;58661.83;237.11;2592.48
09115;76156.61;123.44;187.32
09126;36016.65;0.0;0.0
09129;28042.94;0.0;0.0
09140;54759.12;1373.29;0.0
09188;76432.07;485.11;2600.95
09206;30947.69;123.44;0.0
09234;72910.28;237.11;2380.71
09262;96564.81;1496.73;187.32
09275;74547.63;132.39;583.33
09292;50366.88;0.0;0.0
10007;84570.79;258.42;846.87
10029;94646.04;106.99;364.78
10044;79323.92;383.11;897.81
10052;49869.93;0.0;388.2
10064;107827.63;641.53;1292.36
10066;60933.61;608.88;984.05
10079;82194.23;0.0;566.03
10089;109474.4;403.27;717.28
10090;61917.71;559.87;844.67
10096;54924.38;235.97;543.88
10112;112825.04;0.0;743.14
10121;49199.95;0.0;915.6
10132;56596.86;0.0;382.19
10138;81991.94;383.11;870.07
10140;101045.32;0.0;570.59
10141;75909.94;0.0;277.88
10148;90623.1;452.66;725.87
10149;114433.52;666.86;1030.2
10154;107155.32;698.57;816.68
10177;81620.92;715.88;1278.64
10193;97468.82;383.11;925.25
10195;42222.97;0.0;660.11
10238;87065.73;479.9;833.82
10240;68757.65;608.88;941.13
10250;127619.05;641.53;1247.76
10258;92375.11;383.11;1065.25
10264;48724.46;0.0;277.88
10268;118812.49;698.57;873.74
10280;108343.67;216.31;864.72
10285;87170.35;383.11;870.07
10293;1240.06;0.0;0.0
10300;68523.39;383.11;897.81
10305;42850.62;0.0;210.16
10310;86085.25;641.53;851.2
10312;105517.12;0.0;496.78
10314;67840.12;383.11;1195.61
10332;109897.62;666.86;1030.2
10352;96566.56;666.86;1132.53
10356;82367.65;0.0;897.19
10360;98189.2;715.88;1126.75
10368;78907.17;559.87;1006.61
10371;73827.09;559.87;1072.07
10376;122760.92;490.1;657.11
10377;109609.95;641.53;1450.99
10386;38801.29;0.0;474.54
10405;74213.07;383.11;897.81
10415;79973.17;235.97;518.95
10434;86051.83;666.86;1101.39
10435;81915.15;666.86;1215.47
10438;52876.54;258.42;422.33
